Designator,Footprint,Quantity,Value,LCSC Part #
BC1,Buck Connect,1,~,
C1,1210,1,1uf,
"C2, C3",1210,2,100nf,
"D1, D8",LED_D3.0mm,2,LED,C3028821
D7,1210,1,D,
"J1, J3","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",2,Screw_Terminal_01x02,C8269
J2,USB_Micro-B_Molex-105017-0001,1,USB_B_Micro, C234179
K2,Relay_SPST_SANYOU_SRD_Series_Form_A,1,SANYOU_SRD_Form_A,C185799
Q1,SOT-23,1,2N7002,C5224215
R1,1210,1,150,
"R4, R5, R6, R8",1210,4,10k,
R7,1210,1,170,
R9,1210,1,1K,
U1,PinSocket_2x04_P2.54mm_Vertical,1,ESP-01v090,C2977588
U2,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,C20538888
U4,SMDIP-4_W7.62mm,1,PC817,C2936043
